websites,hotelFax,hotelPhone,hotelAddress,hotelPrivacy,hotelAwards,hotelAbout,hotelMail,hotelMailHyper,hotelRoom,hotelActivities,hotelRestaurant,hotelMeeting,hotelGallery,hotelMap,hotelWeather,hotelTime,hotelPress,hotelSitemap,hotelUser,hotelFaq,hotelTrip,hotelOffers,hotelSearch,hotelPhoneHyper,hotelSecure,hotelCovid,hotelApp,hotelLiveSup,hotelSocial,hotelVideo,hotelVirtual,hotelNewsletter,hotelConsent,hotelOnRezerv,hotelCookie,hotelActiv,hotelPrice,hotelLang
https://kayahotels.com/tr/oteller/kaya-istanbul-fair-convention,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2
https://www.kolinhotel.com/,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1
https://www.lasagradahotel.com/tr,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2
https://www.lazzonihotel.com/,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2
https://www.marriott.com/en-us/hotels/istmd-le-meridien-istanbul-etiler/overview/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2
https://www.legacyottomanhotel.com/tr,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2
https://www.lionelhotel.com.tr/,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2
https://www.mandarinoriental.com/tr/bodrum/paradise-bay,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1
https://www.mandarinoriental.com/tr/istanbul/bosphorus,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1
https://www.marti.com.tr/resort,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2
https://www.maxxroyal.com/tr/Belek-Golf-Resort,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1
https://www.hilton.com.tr/oteller/turkiye/mersin/mersin-hiltonsa,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
https://www.movenpick.com/tr/europe/turkey/istanbul/istanbul-golden-horn.html,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2
https://www.movenpick.com/en/europe/turkey/malatya/hotel-malatya.html,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1
https://www.nevalihotel.com/,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1
https://www.nghotels.com.tr/sapanca/tr,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1
https://www.novotelistanbulbosphorus.com/tr/,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2
http://www.ommerhotel.com/,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1
https://www.ottomanslifedeluxe.com/tr,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2
